Row_Labels,Count_AnimalName
BELLA,112
LUCY,82
MAX,82
BUDDY,79
SADIE,77
DAISY,66
CHARLIE,64
GINGER,60
MOLLY,60
BAILEY,58
JACK,57
LILY,55
ROXY,50
ABBY,49
LUNA,49
ROCKY,49
COOPER,48
MAGGIE,48
BEAR,47
DUKE,45
WILLOW,45
KENAI,44
DENALI,43
SHADOW,41
RILEY,40
CHLOE,39
HARLEY,38
COCO,37
LOKI,37
SOPHIE,36
JAKE,35
KODA,35
RUBY,35
TOBY,35
LUCKY,34
BANDIT,33
LOLA,33
LADY,32
ROSIE,32
TUCKER,30
GRACIE,29
SAM,29
PEPPER,28
PIPER,28
ZOEY,28
DIESEL,27
KODIAK,27
BENTLEY,26
STELLA,26
CODY,25
DAKOTA,25
GUS,25
KONA,25
MISSY,25
MURPHY,25
BLUE,24
JASPER,24
KISKA,24
PENNY,24
SASHA,24
MARLEY,23
OSCAR,23
ANNIE,22
EMMA,22
LILLY,22
RUGER,22
YUKON,22
ZOE,22
BELLE,21
MOCHA,21
OLIVER,21
SAMMY,21
ATHENA,20
BUSTER,20
FINN,20
RAVEN,20
SCOUT,20
KATIE,19
MILO,19
MINNIE,19
NALA,19
PRINCESS,19
RANGER,19
SUGAR,19
WINSTON,19
ZEUS,19
COPPER,18
ELLIE,18
FRANKIE,18
GEORGE,18
GUNNER,18
HENRY,18
CHANCE,17
DEXTER,17
MOOSE,17
SPARKY,17
THOR,17
TITAN,17
AURORA,16
HUNTER,16
JACKSON,16
JAX,16
LEXI,16
MICKEY,16
PEANUT,16
TEDDY,16
ANGEL,15
BAXTER,15
DOZER,15
HOLLY,15
LEO,15
TANK,15
TAZ,15
IZZY,14
JASMINE,14
KING,14
LULU,14
MADDIE,14
MIA,14
OTIS,14
POPPY,14
ROSCOE,14
SAMPSON,14
SCOOTER,14
APOLLO,13
COCOA,13
DESHKA,13
GIZMO,13
HAZEL,13
KOBUK,13
LOUIE,13
MCKINLEY,13
MISTY,13
RIVER,13
SANDY,13
SPIKE,13
SUNNY,13
XENA,13
BABY,12
BO,12
CALLIE,12
CHENA,12
OLIVE,12
ROXIE,12
RYDER,12
SMOKEY,12
BOO,11
BOOMER,11
BRODY,11
BRUTUS,11
BUBBA,11
CALI,11
CASH,11
CHEWY,11
JUNO,11
LUKE,11
MILLIE,11
MOJO,11
OREO,11
PHOEBE,11
RIPLEY,11
SALLY,11
SNICKERS,11
WRIGLEY,11
ZEKE,11
ALLIE,10
ANGUS,10
CHASE,10
COSMO,10
DIXIE,10
HONEY,10
HOPE,10
KARMA,10
MAXIMUS,10
MAYA,10
NELLIE,10
ODIN,10
OLLIE,10
ONYX,10
PATCHES,10
PORTER,10
PRINCE,10
ROMEO,10
RUDY,10
SHEBA,10
SNOOPY,10
STORMY,10
SYDNEY,10
ZIGGY,10
ACE,9
BEAU,9
BENNY,9
CASEY,9
CLEO,9
COOKIE,9
DALLAS,9
DIAMOND,9
DUSTY,9
FRITZ,9
HANK,9
HEIDI,9
HERCULES,9
HOMER,9
JADE,9
KINLEY,9
KOA,9
LAYLA,9
MADDY,9
MIDNIGHT,9
ROCCO,9
RUFUS,9
RUSTY,9
SARGE,9
SIERRA,9
SIMBA,9
SITKA,9
STAR,9
TRIGGER,9
TYSON,9
ARCHIE,8
BRUCE,8
BRUNO,8
CHAMP,8
CINNAMON,8
DOC,8
ELLA,8
GRACE,8
GRIZZLY,8
ISIS,8
JOEY,8
KAI,8
MISHKA,8
NOVA,8
OAKLEY,8
ODIE,8
OLAF,8
REX,8
RIO,8
ROSE,8
SAMANTHA,8
TILLY,8
WILLIE,8
ABBEY,7
ASPEN,7
BANJO,7
BRANDY,7
BRODIE,7
CEDAR,7
CHICO,7
CHIEF,7
CHINOOK,7
DELILAH,7
EDDIE,7
ELSA,7
ELVIS,7
EVA,7
GIGI,7
GRETA,7
HANNAH,7
JESSIE,7
JOE,7
JOSIE,7
JOY,7
KALI,7
KAYA,7
KOBE,7
LACEY,7
MACY,7
MASON,7
MATTIE,7
NINA,7
NUGGET,7
PARKER,7
PRECIOUS,7
REBEL,7
RED,7
REGGIE,7
REMINGTON,7
ROO,7
SAMSON,7
SARAH,7
SASSY,7
SKYE,7
STANLEY,7
TIMBER,7
TINY,7
TRAPPER,7
TROOPER,7
YUKI,7
AMBER,6
ANNA,6
ATLAS,6
BENJI,6
BERNIE,6
BETTY,6
BLAZE,6
BODHI,6
BOLT,6
BONNIE,6
BRADY,6
BRISTOL,6
BUCK,6
BUTTERS,6
CAPTAIN,6
CASSIE,6
CHICA,6
CLYDE,6
COMET,6
CRICKET,6
DAISY MAE,6
DAPHNE,6
DOLLY,6
DRAKE,6
DUTCHESS,6
FANCY,6
FRECKLES,6
FREYA,6
GABBY,6
IVY,6
JAZZ,6
KAISER,6
KIKI,6
KIMBER,6
LEIA,6
LENA,6
LENNY,6
LOGAN,6
MAC,6
MACK,6
MADISON,6
MOE,6
NIKKI,6
NYX,6
PACO,6
PANDA,6
PENELOPE,6
PETE,6
PIXIE,6
PONCHO,6
RAMBO,6
RASCAL,6
REMI,6
REMY,6
ROLO,6
ROXI,6
SABLE,6
SCRAPPY,6
SHELBY,6
TIA,6
TIGGER,6
TINKERBELL,6
TUNDRA,6
WINNIE,6
WYATT,6
ABBIE,5
ABIGAIL,5
AJAX,5
ANDY,5
AUTUMN,5
AXEL,5
BARLEY,5
BEN,5
BINGO,5
BOBBY,5
BORIS,5
BOWSER,5
BROWNIE,5
BUZZ,5
CASPER,5
CEASAR,5
CHARLEY,5
CHIP,5
COLE,5
COWBOY,5
DAISEY,5
DASH,5
DAWSON,5
DAX,5
DEUCE,5
DIEGO,5
DIGGER,5
